상품명,카테고리,가격,실제가격,추천 성별,추천 연령대,추천 관계,추천 취미,추천 성격,추천 이벤트,이미지URL,구매링크
차량용 무선충전 거치대,디지털/IT,10만원 이상,102500,남성,40대 이상,"선생님, 배우자","음악, 사진",모험심 강함,"승진, 취업",,
클래식 가죽 다이어리 커버,문구/데스크테리어,3~5만원,36200,상관없음,20대 초반,"직장동료, 배우자, 썸","여행, 음악","SNS 좋아함, 트렌디함","승진, 감사선물",,
요가매트,취미/레저,3~5만원,48800,상관없음,30대,직장동료,"여행, 운동",모험심 강함,승진,,
마스크팩 세트,뷰티,3~5만원,45100,남성,10대,직장동료,뷰티,"로맨틱, 모험심 강함","발렌타인데이, 특별한 이유 없음",,
곡물 선물세트,식품/커피,1만원 이하,3300,남성,20대 초반,부모님,"여행, 독서",트렌디함,"크리스마스, 감사선물",,
프리미엄 실크 스카프,패션잡화,5~10만원,61900,남성,20대 후반,직장동료,"캠핑, 커피","모험심 강함, 활동적","승진, 졸업",,
바디미스트,뷰티,1~3만원,24300,남성,20대 후반,"선생님, 부모님","사진, 요리","로맨틱, SNS 좋아함","생일, 감사선물",,
데일리 드립백 커피 세트,식품/커피,1~3만원,15600,상관없음,20대 초반,"부모님, 썸, 연인","게임, 패션","모험심 강함, 로맨틱","승진, 발렌타인데이",,
클래식 디자인 트레이,리빙/인테리어,3~5만원,30100,여성,30대,"형제자매, 기타, 부모님","캠핑, 독서","모험심 강함, 로맨틱","취업, 화이트데이",,
탁상시계,문구/데스크테리어,5~10만원,85700,여성,40대 이상,"썸, 연인, 형제자매","커피, 게임","유머러스, 감성적",특별한 이유 없음,,
미니멀 레저용 백팩,취미/레저,10만원 이상,128400,남성,40대 이상,"선생님, 기타, 형제자매","캠핑, 운동","트렌디함, 감성적","졸업, 집들이",,
프리미엄 등산 스틱,취미/레저,10만원 이상,198000,여성,40대 이상,"부모님, 형제자매",운동,차분함,"승진, 화이트데이",,
미니멀 미니 향수 세트,뷰티,3~5만원,32600,상관없음,20대 초반,연인,운동,모험심 강함,"취업, 화이트데이",,
데일리 데스크 오거나이저,문구/데스크테리어,3~5만원,32400,상관없음,20대 초반,"배우자, 썸",게임,"SNS 좋아함, 모험심 강함","크리스마스, 승진",,
미니멀 탁상 캘린더,문구/데스크테리어,1만원 이하,6300,여성,40대 이상,직장동료,"요리, 사진",로맨틱,화이트데이,,
